Ноутбук Dell Inspiron 15 5570 (I5558S2DDL-80B),от 14 799 грн. ,Тип - Ноутбук Тип процессора - 8250U Частота - 1.6 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_15_5570_i5558s2ddl-80b/catc839t14m3281350.html,https:/images/preload.gif
Ноутбук Dell Inspiron 3593 (I355410NDL-75B),13 099 грн. ,Тип - Ноутбук Тип процессора - 1035G1 Частота - 3.6 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6ODp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InIiO2k6MDtzOjE6InQiO2k6NDtzOjE6InAiO2k6NDtzOjE6InkiO2k6MDtzOjE650fe453c5d6aa0bacace033561a3bf65Im0iO2k6MjtzOjE6ImYiO2k6MjtzOjE6ImUiO2k6NTt9czoxOiJ5IjtzOjEwOiI1MTE1NTQwNDAzIjtzOjE6ImMiO2k6MTtzOjM6ImNqcyI7aToxO30%3D,https:/images/preload.gif
Ноутбук ASUS TUF Gaming FX505DT-AL087 (90NR02D2-M03650),19 147 грн. ,Тип - Ноутбук Тип процессора - 3550H Частота - 2.1 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6ODp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InIiO2k6MDtzOjE6InQiO2k6NDtzOjE6InAiO2k6NDtzOjE6InkiO2k6MDtzOjE650fe453c5d6aa0bacace033561a3bf65Im0iO2k6MjtzOjE6ImYiO2k6MjtzOjE6ImUiO2k6NTt9czoxOiJ5IjtzOjEwOiI1MDg0NDY1NDMzIjtzOjE6ImMiO2k6MTtzOjM6ImNqcyI7aToxO30%3D,https:/images/preload.gif
Ноутбук ASUS X512UA-EJ211 (90NB0K83-M04030),10 999 грн. ,Тип - Ноутбук Тип процессора - 4417U Частота - 2.3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6ODp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InIiO2k6MDtzOjE6InQiO2k6NDtzOjE6InAiO2k6NDtzOjE6InkiO2k6MDtzOjE6e6fb4117914daa55ed919cd923bed4deIm0iO2k6MjtzOjE6ImYiO2k6MjtzOjE6ImUiO2k6NTt9czoxOiJ5IjtzOjEwOiI1MDczMTY4OTAyIjtzOjE6ImMiO2k6MTtzOjM6ImNqcyI7aToxO30%3D,https:/images/preload.gif
Ноутбук Dell Vostro 5581 (N3021VN5581ERC_UBU),от 18 799 грн. ,Тип - Ноутбук Тип процессора - 8265U (Whiskey Lake) Частота - 1.6 - 3.9 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_vostro_5581_n3021vn5581erc_ubu/catc839t14m4028793.html,https:/images/preload.gif
Ноутбук ASUS VivoBook S15 S510UA (S510UA-DS51),от 15 199 грн. ,Тип - Ноутбук Тип процессора - 8250U Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс. Вес - 1.5 кг,https://price.ua/asus/asus_vivobook_s15_s510ua_s510ua-ds51/catc839t14m3706302.html,https:/images/preload.gif
Ноутбук Apple MacBook Air Z0NX0002S,от 17 505 грн. ,Тип - Ноутбук Тип процессора - Intel Core i5-4250U Диагональ экрана - 11.6 дюйм. Разрешение экрана - 1366x768 пикс. Вес - 1.08 кг,https://price.ua/apple/apple_macbook_air_z0nx0002s/catc839t14m455397.html,https:/images/preload.gif
Ноутбук ASUS X512UB (X512UB-EJ157),от 10 199 грн. ,Тип - Ноутбук Тип процессора - Pentium 4417U Частота - 2.3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/asus/asus_x512ub_x512ub-ej157/catc839t14m4155294.html,https://i2.price.ua/images/offers/746/type2/1530706365.jpg
Ноутбук Acer Swift 1 SF114-32-C16P (NX.GXREU.004),от 10 339 грн. ,Тип - Ноутбук Тип процессора - N4000 Частота - 1.1 - 2.6 ГГц Диагональ экрана - 14 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/acer/acer_swift_1_sf114-32-c16p_nx_gxreu_004/catc839t14m3522063.html,https://i4.price.ua/images/model/839/3522063/2/1/type5/acer_swift_1_sf114-32-c16p_nx_gxreu_004_4740172.jpg
Ноутбук HP 15-dw0018ur (6RQ16EA),от 12 999 грн. ,Тип - Ноутбук Тип процессора - 7020U (Kaby Lake) Частота - 2.3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/hp/hp_15-dw0018ur_6rq16ea/catc839t14m4089884.html,https://i4.price.ua/images/model/839/4089884/2/1/type5/hp_15-dw0018ur_6rq16ea_5474448.jpg
Ноутбук HP 15-db1096ur (7RZ13EA),от 13 516 грн. ,Тип - Ноутбук Тип процессора - 3500U (Zen+) Частота - 2.1-3.7 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/hp/hp_15-db1096ur_7rz13ea/catc839t14m4156345.html,https://i2.price.ua/images/model/839/4156345/2/1/type5/hp_15-db1096ur_7rz13ea_5598597.jpg
Ноутбук Lenovo IdeaPad 330-15 (81DE01VURA),от 12 999 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i3-7020U Частота - 2,3 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_330-15_81de01vura/catc839t14m3718017.html,https://i3.price.ua/images/model/839/3718017/2/1/type5/lenovo_ideapad_330-15_81de01vura_5046860.jpg
Ноутбук Dell Inspiron 15 5570 (I555410DDL-80B),от 11 534 грн. ,Тип - Ноутбук Тип процессора - 8250U Частота - 1.6 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_15_5570_i555410ddl-80b/catc839t14m3281344.html,https://i2.price.ua/images/model/839/3281344/2/1/type5/dell_inspiron_15_5570_i555410ddl-80b_4456649.jpg
Ноутбук Dell Vostro 3490 (N1104VN3490ERC_UBU),от 16 500 грн. ,Тип - Нетбук Тип процессора - 10210U Частота - 1.6-4.2 ГГц Диагональ экрана - 14 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_vostro_3490_n1104vn3490erc_ubu/catc839t14m4209880.html,https://i1.price.ua/images/offers/74425/type2/1528490564.jpg
Ноутбук HP ProBook 450 G6 (4SZ43AV_V1),от 13 900 грн. ,Тип - Нетбук Тип процессора - 8145U Частота - 2.1 - 3.9 ГГц ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/hp/hp_probook_450_g6_4sz43av_v1/catc839t14m4107646.html,https://i4.price.ua/images/model/839/4107646/2/1/type5/hp_probook_450_g6_4sz43av_v1_5493866.jpg
Ноутбук Dell Inspiron 5570 (I515F54H1DDL-7BK),от 13 599 грн. ,Тип - Ноутбук Тип процессора - 7200U Частота - 2.5-3.1 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_5570_i515f54h1ddl-7bk/catc839t14m4053111.html,https:/images/preload.gif
Ноутбук HP ProBook 450 G6 (4SZ45AV),от 16 399 грн. ,Тип - Нетбук Тип процессора - 8565U Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс. Вес - 2 кг,https://price.ua/hp/hp_probook_450_g6_4sz45av/catc839t14m4201364.html,https:/images/preload.gif
Ноутбук Acer Aspire 3 A315-53-59VC (NX.H2BEU.023),от 11 787 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i5-7200U Частота - 2,5-3,1 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/acer/acer_aspire_3_a315-53-59vc_nx_h2beu_023/catc839t14m3656514.html,https:/images/preload.gif
Ноутбук Dell Inspiron 3583 (3583Fi54H1HD-WBK),от 15 199 грн. ,Тип - Ноутбук Тип процессора - Core i5 8265U Частота - 1.6 - 3.9 ГГц ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/dell/dell_inspiron_3583_3583fi54h1hd-wbk/catc839t14m4123107.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X542UF-DM004 (90NB0IJ2-M00040),от 16 699 грн. ,"Тип - Ноутбук Тип процессора - Intel Core i5-8250U Частота - 1,6-3,4 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf-dm004_90nb0ij2-m00040/catc839t14m3522794.html,https:/images/preload.gif
Ноутбук HP Probook 450 G6 (6BN80EA),от 16 194 грн. ,Тип - Ноутбук Тип процессора - 8265U (Whiskey Lake) Частота - 1.6 ГГц Диагональ экрана - 15.6 дюйм. Разрешение экрана - 1920x1080 пикс.,https://price.ua/hp/hp_probook_450_g6_6bn80ea/catc839t14m4023896.html,https:/images/preload.gif
